ticker,start,end,index_name
AA,2021-12-20,2024-12-31,SP400
AAL,2024-09-23,2024-12-31,SP400
AAON,2024-05-03,2024-12-31,SP400
AAXN,2019-07-01,2024-12-31,SP400
ABMD,2014-09-30,2018-05-31,SP400
ACC,2014-09-30,2022-08-10,SP400
ACHC,2017-04-06,2024-12-31,SP400
ACI,2025-03-11,2024-12-31,SP400
ACIW,2014-09-30,2023-11-13,SP400
ACM,2014-09-30,2024-12-31,SP400
ADC,2023-02-06,2024-12-31,SP400
ADNT,2018-08-22,2024-09-23,SP400
ADS,2020-06-22,2024-12-31,SP400
AEO,2014-09-30,2022-09-19,SP400
AFG,2014-09-30,2024-12-31,SP400
AGCO,2014-09-30,2024-12-31,SP400
AHL,2014-09-30,2019-02-21,SP400
AIRC,2020-12-21,2024-06-28,SP400
AIT,2024-03-18,2024-12-31,SP400
AJG,2014-09-30,2016-05-27,SP400
ALB,2014-09-30,2016-06-30,SP400
ALE,2018-03-07,2024-12-31,SP400
ALEX,2014-09-30,2020-02-07,SP400
ALGM,2022-12-19,2024-12-31,SP400
ALGN,2014-09-30,2017-06-19,SP400
ALK,2014-09-30,2016-05-12,SP400
ALK,2025-03-24,2024-12-31,SP400
ALLY,2023-09-18,2024-12-31,SP400
ALTM,2024-01-02,2025-03-06,SP400
ALTR,2024-06-24,2025-03-31,SP400
ALV,2023-03-20,2024-12-31,SP400
AM,2019-09-23,2024-12-31,SP400
AMCX,2014-09-30,2020-12-02,SP400
AMD,2014-09-30,2017-03-20,SP400
AMED,2019-02-21,2024-12-31,SP400
AMG,2019-12-13,2024-12-31,SP400
AMH,2024-03-01,2024-12-31,SP400
AMKR,2021-02-16,2024-12-31,SP400
AN,2017-08-08,2024-12-31,SP400
ANF,2014-09-30,2016-10-03,SP400
ANF,2024-07-22,2024-12-31,SP400
ANSS,2014-09-30,2017-06-19,SP400
AOL,2014-09-30,2015-06-25,SP400
AOS,2014-09-30,2017-07-26,SP400
APG,2025-06-24,2024-12-31,SP400
APOL,2014-09-30,2015-11-30,SP400
APPF,2024-04-01,2024-12-31,SP400
APPS,2021-09-07,2022-06-29,SP400
APY,2018-05-10,2024-12-31,SP400
AR,2022-10-20,2024-12-31,SP400
ARE,2014-09-30,2017-03-20,SP400
ARMK,2023-03-20,2024-12-31,SP400
ARW,2014-09-30,2024-12-31,SP400
ARWR,2019-12-13,2025-01-27,SP400
ASB,2014-09-30,2024-12-31,SP400
ASGN,2018-10-11,2024-12-31,SP400
ASH,2014-09-30,2024-12-31,SP400
ASNA,2014-09-30,2016-11-10,SP400
ATGE,2014-09-30,2021-07-07,SP400
ATI,2015-07-01,2020-09-21,SP400
ATI,2025-03-24,2024-12-31,SP400
ATML,2014-09-30,2016-04-06,SP400
ATR,2014-09-30,2024-12-31,SP400
ATW,2014-09-30,2016-01-19,SP400
AVAV,2025-07-18,2024-12-31,SP400
AVNS,2014-09-30,2021-05-17,SP400
AVNT,2014-09-30,2024-12-31,SP400
AVP,2014-09-30,2018-03-19,SP400
AVT,2014-09-30,2024-12-31,SP400
AVTR,2024-07-26,2024-12-31,SP400
AXON,2014-09-30,2023-05-04,SP400
AXTA,2023-03-20,2024-12-31,SP400
AYI,2014-09-30,2016-05-03,SP400
AYI,2018-06-18,2024-12-31,SP400
AZPN,2021-05-17,2025-03-11,SP400
AZTA,2014-09-30,2024-11-25,SP400
BBBY,2017-07-26,2020-06-22,SP400
BBG,2014-09-30,2014-09-30,SP400
BBWI,2025-03-24,2024-12-31,SP400
BC,2014-09-30,2024-12-31,SP400
BCO,2017-09-18,2024-12-31,SP400
BDC,2014-09-30,2024-12-31,SP400
BEAV,2014-09-30,2017-04-19,SP400
BERY,2023-06-19,2025-05-01,SP400
BFH,2014-09-30,2022-11-02,SP400
BHF,2019-04-03,2024-12-31,SP400
BID,2014-09-30,2019-10-03,SP400
BILL,2024-12-23,2024-12-31,SP400
BIO,2014-09-30,2020-06-22,SP400
BIO,2024-09-23,2024-12-31,SP400
BIVV,2017-02-03,2018-03-08,SP400
BJ,2019-10-30,2024-12-31,SP400
BKH,2014-09-30,2024-12-31,SP400
BLD,2020-06-30,2024-12-31,SP400
BLDR,2020-08-17,2023-12-18,SP400
BLKB,2017-06-29,2024-12-31,SP400
BMR,2014-09-30,2016-01-27,SP400
BMRN,2024-06-24,2024-12-31,SP400
BMS,2014-09-30,2019-06-07,SP400
BOH,2014-09-30,2023-06-01,SP400
BR,2014-09-30,2018-06-18,SP400
BRBR,2022-03-14,2024-12-31,SP400
BRCD,2014-09-30,2017-11-22,SP400
BRKR,2021-12-02,2024-12-31,SP400
BRKS,2021-01-07,2024-12-31,SP400
BRO,2014-09-30,2021-09-20,SP400
BRX,2019-02-06,2024-12-31,SP400
BURL,2023-11-07,2024-12-31,SP400
BWLD,2014-09-30,2018-02-05,SP400
BWXT,2023-06-19,2024-12-31,SP400
BYD,2018-02-13,2024-12-31,SP400
CAA,2014-09-30,2018-02-13,SP400
CAB,2014-09-30,2017-09-26,SP400
CABO,2014-09-30,2024-04-22,SP400
CACI,2014-09-30,2024-12-31,SP400
CADE,2014-09-30,2024-12-31,SP400
CAKE,2014-09-30,2020-06-22,SP400
CALX,2022-01-04,2024-03-18,SP400
CAR,2016-09-16,2024-12-31,SP400
CARS,2017-06-02,2019-09-23,SP400
CART,2025-01-14,2024-12-31,SP400
CASY,2015-06-25,2024-12-31,SP400
CATY,2014-09-30,2023-09-18,SP400
CAVA,2025-03-31,2024-12-31,SP400
CBOE,2014-09-30,2017-03-01,SP400
CBRL,2015-06-29,2023-03-20,SP400
CBSH,2014-09-30,2024-12-31,SP400
CBT,2014-09-30,2024-12-31,SP400
CC,2014-09-30,2016-02-01,SP400
CC,2017-01-04,2025-03-24,SP400
CCK,2023-06-19,2024-12-31,SP400
CCMP,2019-12-02,2022-07-07,SP400
CCP,2014-09-30,2017-08-17,SP400
CDAY,2019-10-30,2021-09-20,SP400
CDK,2014-09-30,2022-07-06,SP400
CDNS,2014-09-30,2017-09-18,SP400
CDP,2014-09-30,2024-12-31,SP400
CEB,2014-09-30,2017-04-05,SP400
CELH,2022-08-10,2024-12-31,SP400
CFR,2014-09-30,2024-12-31,SP400
CG,2023-11-30,2024-12-31,SP400
CGNX,2014-09-30,2024-12-31,SP400
CHD,2014-09-30,2015-12-29,SP400
CHDN,2016-06-24,2024-12-31,SP400
CHE,2018-06-18,2024-12-31,SP400
CHFC,2016-09-01,2019-08-01,SP400
CHH,2019-12-10,2024-12-31,SP400
CHK,2018-03-19,2020-02-27,SP400
CHK,2023-08-21,2024-12-31,SP400
CHRD,2023-03-20,2024-12-31,SP400
CHS,2014-09-30,2017-07-19,SP400
CHWY,2024-11-06,2024-12-31,SP400
CHX,2014-09-30,2025-07-18,SP400
CIEN,2014-09-30,2024-12-31,SP400
CIT,2020-01-21,2022-01-04,SP400
CIVI,2023-09-29,2024-12-31,SP400
CLB,2017-07-12,2020-04-27,SP400
CLC,2014-09-30,2017-03-01,SP400
CLF,2014-09-30,2015-04-24,SP400
CLF,2021-03-01,2024-12-31,SP400
CLGX,2014-09-30,2021-06-09,SP400
CLH,2014-09-30,2024-12-31,SP400
CLI,2014-09-30,2020-09-21,SP400
CMA,2024-12-23,2024-12-31,SP400
CMC,2014-09-30,2024-12-31,SP400
CMD,2018-03-19,2021-06-02,SP400
CMP,2014-09-30,2022-02-01,SP400
CNH,2024-09-23,2024-12-31,SP400
CNK,2014-09-30,2021-08-30,SP400
CNL,2014-09-30,2016-04-14,SP400
CNM,2023-11-13,2024-12-31,SP400
CNO,2015-04-07,2024-12-31,SP400
CNX,2016-03-04,2024-12-31,SP400
CNXC,2020-12-01,2024-12-31,SP400
COHR,2017-03-20,2022-07-05,SP400
COKE,2022-07-20,2024-12-31,SP400
COLB,2023-03-01,2024-12-31,SP400
COLM,2019-12-17,2024-12-31,SP400
CONE,2017-03-01,2022-03-30,SP400
COR,2017-08-10,2021-12-28,SP400
COTY,2020-09-21,2024-12-31,SP400
CPE,2017-09-18,2019-09-26,SP400
CPRI,2021-01-07,2024-12-31,SP400
CPRT,2014-09-30,2018-07-02,SP400
CPT,2014-09-30,2022-04-04,SP400
CR,2023-04-04,2024-12-31,SP400
CRC,2014-09-30,2016-02-25,SP400
CRI,2014-09-30,2024-12-23,SP400
CRL,2014-09-30,2021-05-14,SP400
CRNC,2021-07-07,2022-03-14,SP400
CROX,2021-06-02,2024-12-31,SP400
CRS,2014-09-30,2020-08-03,SP400
CRS,2024-12-23,2024-12-31,SP400
CRUS,2016-09-21,2024-12-31,SP400
CSAL,2015-04-24,2024-12-31,SP400
CSC,2015-11-30,2017-04-04,SP400
CSL,2014-09-30,2024-12-31,SP400
CST,2014-09-30,2017-06-29,SP400
CTB,2017-02-13,2018-06-18,SP400
CTLT,2014-09-30,2020-09-21,SP400
CUBE,2022-12-19,2024-12-31,SP400
CUZ,2016-10-05,2024-12-31,SP400
CVET,2019-02-11,2019-10-30,SP400
CVG,2014-09-30,2018-10-10,SP400
CVLT,2014-09-30,2024-12-31,SP400
CW,2016-02-01,2024-12-31,SP400
CXT,2014-09-30,2024-12-31,SP400
CXW,2014-09-30,2020-08-17,SP400
CY,2014-09-30,2020-04-13,SP400
CYH,2014-09-30,2016-10-05,SP400
CYN,2014-09-30,2015-11-02,SP400
CYT,2014-09-30,2015-12-14,SP400
CYTK,2024-03-18,2024-12-31,SP400
CZR,2019-02-04,2020-07-24,SP400
DAN,2014-09-30,2023-06-19,SP400
DAR,2020-01-29,2024-12-31,SP400
DBD,2014-09-30,2018-05-10,SP400
DBX,2023-06-19,2024-12-31,SP400
DCI,2014-09-30,2024-12-31,SP400
DCT,2016-04-04,2018-08-22,SP400
DDD,2014-09-30,2018-05-10,SP400
DDS,2017-02-28,2020-06-22,SP400
DECK,2014-09-30,2024-03-18,SP400
DEI,2014-09-30,2023-06-19,SP400
DF,2014-09-30,2018-03-19,SP400
DHC,2014-09-30,2020-05-27,SP400
DINO,2014-09-30,2024-12-31,SP400
DKS,2014-09-30,2024-12-31,SP400
DLB,2023-08-22,2024-12-31,SP400
DLPH,2017-12-06,2020-10-07,SP400
DLX,2014-09-30,2020-08-03,SP400
DNB,2017-04-05,2019-02-11,SP400
DNKN,2015-04-27,2020-12-21,SP400
DNOW,2014-09-30,2020-06-22,SP400
DNR,2014-09-30,2017-03-20,SP400
DO,2016-09-30,2024-12-31,SP400
DOC,2020-05-18,2024-03-01,SP400
DOCS,2023-06-19,2024-12-31,SP400
DOCU,2024-10-11,2024-12-31,SP400
DPZ,2014-09-30,2020-05-06,SP400
DRC,2014-09-30,2015-06-29,SP400
DRE,2014-09-30,2017-07-26,SP400
DRQ,2014-09-30,2019-02-04,SP400
DST,2014-09-30,2018-04-19,SP400
DT,2022-09-19,2024-12-31,SP400
DTM,2021-07-02,2024-12-31,SP400
DUOL,2024-04-22,2024-12-31,SP400
DWA,2014-09-30,2016-08-26,SP400
DY,2016-08-19,2023-03-20,SP400
EAT,2014-09-30,2020-06-25,SP400
EBS,2020-07-24,2021-11-30,SP400
EDR,2016-05-27,2018-09-20,SP400
EEFT,2022-02-01,2024-12-31,SP400
EGP,2019-05-07,2024-12-31,SP400
EHC,2018-01-02,2024-12-31,SP400
ELF,2024-01-23,2024-12-31,SP400
ELS,2023-07-24,2024-12-31,SP400
ELY,2021-06-15,2024-12-31,SP400
EME,2016-06-30,2024-12-31,SP400
ENDP,2017-03-02,2018-06-18,SP400
ENH,2015-07-30,2017-03-29,SP400
ENOV,2014-09-30,2025-01-14,SP400
ENPH,2020-04-27,2021-01-07,SP400
ENR,2014-09-30,2023-09-18,SP400
ENS,2016-08-26,2024-12-31,SP400
ENSG,2024-10-01,2024-12-31,SP400
ENTG,2025-03-06,2024-12-31,SP400
ENV,2021-06-09,2023-11-07,SP400
EPC,2014-09-30,2021-03-22,SP400
EPR,2016-01-19,2024-12-31,SP400
EQH,2023-12-18,2024-12-31,SP400
EQT,2014-09-30,2022-10-03,SP400
EQY,2014-09-30,2017-03-02,SP400
ERI,2018-08-20,2024-12-31,SP400
ERIE,2023-08-08,2024-09-23,SP400
ESAB,2022-04-05,2024-12-31,SP400
ESNT,2020-05-26,2024-12-31,SP400
ETRN,2014-09-30,2024-07-22,SP400
ETSY,2019-09-23,2020-09-21,SP400
EV,2014-09-30,2021-03-01,SP400
EVR,2018-03-26,2024-12-31,SP400
EWBC,2014-09-30,2024-12-31,SP400
EXE,2014-09-30,2025-03-24,SP400
EXEL,2018-07-02,2024-12-31,SP400
EXLS,2022-10-03,2024-12-31,SP400
EXP,2014-09-30,2024-12-31,SP400
EXPO,2023-03-22,2024-12-31,SP400
EXR,2014-09-30,2016-01-19,SP400
FAF,2014-09-30,2024-12-31,SP400
FBHS,2014-09-30,2016-06-24,SP400
FBIN,2022-12-19,2024-12-31,SP400
FCFS,2019-09-23,2024-12-31,SP400
FCN,2014-09-30,2017-08-08,SP400
FCN,2019-10-24,2024-12-31,SP400
FCS,2014-09-30,2016-09-21,SP400
FDS,2014-09-30,2021-12-20,SP400
FFIN,2019-03-22,2024-12-31,SP400
FHI,2014-09-30,2024-12-31,SP400
FHN,2014-09-30,2024-12-31,SP400
FICO,2014-09-30,2023-03-20,SP400
FIVE,2018-04-19,2024-12-31,SP400
FIX,2023-12-18,2024-12-31,SP400
FL,2014-09-30,2016-04-04,SP400
FLEX,2024-11-25,2024-12-31,SP400
FLG,2014-09-30,2024-12-31,SP400
FLO,2014-09-30,2024-12-31,SP400
FLR,2019-06-04,2024-12-31,SP400
FLS,2021-03-22,2024-12-31,SP400
FMER,2014-09-30,2016-08-19,SP400
FN,2024-09-23,2024-12-31,SP400
FNB,2016-02-09,2024-12-31,SP400
FND,2023-10-20,2024-12-31,SP400
FNF,2023-09-18,2024-12-31,SP400
FNFG,2014-09-30,2016-07-29,SP400
FOSL,2016-01-05,2017-03-20,SP400
FOUR,2024-11-20,2024-12-31,SP400
FOXF,2020-09-21,2024-04-03,SP400
FR,2014-09-30,2024-12-31,SP400
FRT,2014-09-30,2016-02-01,SP400
FSLR,2017-03-20,2022-12-19,SP400
FTNT,2014-09-30,2018-10-11,SP400
FTR,2017-03-20,2017-12-06,SP400
FULT,2014-09-30,2023-06-19,SP400
FYBR,2022-10-03,2024-12-31,SP400
G,2021-05-03,2024-12-31,SP400
GAP,2014-09-30,2024-12-31,SP400
GATX,2014-09-30,2024-12-31,SP400
GBCI,2020-06-22,2024-12-31,SP400
GDDY,2023-09-18,2024-06-24,SP400
GDOT,2019-01-18,2020-01-31,SP400
GEF,2014-09-30,2024-12-31,SP400
GEO,2017-03-16,2020-11-13,SP400
GES,2014-09-30,2016-11-01,SP400
GGG,2014-09-30,2024-12-31,SP400
GHC,2014-09-30,2024-12-31,SP400
GLPI,2023-09-18,2024-12-31,SP400
GME,2016-04-22,2024-12-31,SP400
GMED,2014-09-30,2024-12-31,SP400
GNRC,2020-02-07,2021-03-22,SP400
GNTX,2014-09-30,2024-12-31,SP400
GNW,2015-11-18,2021-05-03,SP400
GO,2020-06-25,2024-06-24,SP400
GPK,2023-06-19,2024-12-31,SP400
GPN,2014-09-30,2016-04-22,SP400
GPOR,2014-09-30,2018-12-12,SP400
GPS,2022-02-03,2024-12-31,SP400
GRUB,2014-09-30,2021-06-15,SP400
GT,2014-09-30,2024-12-31,SP400
GTLS,2022-03-30,2024-12-31,SP400
GTM,2014-09-30,2024-12-31,SP400
GVA,2014-09-30,2019-12-13,SP400
GWR,2014-09-30,2019-12-26,SP400
GWRE,2025-01-27,2024-12-31,SP400
GXO,2021-08-02,2024-12-31,SP400
GXP,2014-09-30,2018-06-05,SP400
H,2023-10-12,2024-12-31,SP400
HAE,2018-06-18,2024-12-31,SP400
HAIN,2014-09-30,2022-10-03,SP400
HALO,2020-11-13,2024-12-31,SP400
HBI,2021-12-20,2023-03-20,SP400
HCSG,2018-02-05,2021-09-20,SP400
HE,2014-09-30,2023-09-18,SP400
HELE,2014-09-30,2024-09-23,SP400
HFC,2014-09-30,2018-06-18,SP400
HFC,2021-06-04,2024-12-31,SP400
HGV,2023-03-20,2024-12-31,SP400
HII,2014-09-30,2018-01-03,SP400
HIMS,2025-03-24,2024-12-31,SP400
HIW,2014-09-30,2023-09-18,SP400
HLI,2023-12-18,2024-12-31,SP400
HLNE,2024-09-23,2024-12-31,SP400
HLS,2016-11-03,2018-01-02,SP400
HNI,2014-09-30,2021-02-16,SP400
HOG,2020-06-22,2024-12-31,SP400
HOMB,2017-06-02,2024-12-31,SP400
HPP,2020-05-27,2022-09-19,SP400
HQY,2018-09-17,2024-12-31,SP400
HR,2016-03-07,2022-07-21,SP400
HRB,2020-09-21,2024-12-31,SP400
HRC,2014-09-30,2021-12-20,SP400
HSNI,2014-09-30,2018-01-02,SP400
HTA,2022-07-21,2024-12-31,SP400
HTZ,2023-03-20,2024-06-24,SP400
HUBB,2014-09-30,2023-10-18,SP400
HWC,2014-09-30,2024-12-31,SP400
HXL,2020-06-22,2024-12-31,SP400
IAA,2020-08-03,2023-03-22,SP400
IART,2018-06-05,2024-06-24,SP400
IBKR,2018-01-02,2024-12-31,SP400
IBOC,2014-09-30,2024-12-31,SP400
ICUI,2018-03-19,2023-11-30,SP400
IDA,2014-09-30,2024-12-31,SP400
IDCC,2014-09-30,2021-04-12,SP400
IDTI,2014-09-30,2019-04-01,SP400
IDXX,2014-09-30,2017-01-04,SP400
IIVI,2019-09-26,2024-12-31,SP400
ILG,2017-09-18,2018-09-04,SP400
ILMN,2024-06-24,2024-12-31,SP400
INCR,2017-04-05,2024-12-31,SP400
INGN,2014-09-30,2019-09-18,SP400
INGR,2014-09-30,2024-12-31,SP400
INT,2014-09-30,2021-08-04,SP400
IPGP,2014-09-30,2018-03-07,SP400
IPGP,2022-06-21,2024-12-31,SP400
IRDM,2021-02-12,2024-12-31,SP400
IRT,2022-05-19,2024-12-31,SP400
ISCA,2014-09-30,2019-10-18,SP400
ISIL,2014-09-30,2017-02-28,SP400
IT,2014-09-30,2017-04-05,SP400
ITT,2014-09-30,2024-12-31,SP400
JACK,2014-09-30,2022-02-03,SP400
JAH,2014-09-30,2016-04-18,SP400
JAZZ,2020-09-21,2024-12-31,SP400
JBGS,2017-07-19,2023-03-20,SP400
JBL,2014-09-30,2023-12-18,SP400
JBLU,2014-09-30,2023-09-18,SP400
JCOM,2015-12-14,2024-12-31,SP400
JCP,2014-09-30,2017-06-02,SP400
JEF,2019-09-26,2024-12-31,SP400
JHG,2014-09-30,2024-12-31,SP400
JLL,2014-09-30,2024-12-31,SP400
JOY,2014-09-30,2017-04-06,SP400
JWN,2020-06-22,2025-05-22,SP400
KAR,2019-09-23,2021-12-02,SP400
KATE,2014-09-30,2017-07-12,SP400
KBH,2014-09-30,2024-12-31,SP400
KBR,2014-09-30,2024-12-31,SP400
KD,2021-11-05,2024-12-31,SP400
KEX,2014-09-30,2024-12-31,SP400
KLXI,2014-09-30,2018-09-18,SP400
KMPR,2014-09-30,2024-12-31,SP400
KMT,2014-09-30,2023-03-20,SP400
KN,2014-09-30,2018-05-02,SP400
KNF,2023-06-01,2024-12-31,SP400
KNSL,2020-12-29,2024-12-31,SP400
KNX,2017-07-12,2024-12-31,SP400
KRC,2014-09-30,2024-12-31,SP400
KRG,2021-10-22,2024-12-31,SP400
